1.572 5.951
3.634 5.849
6.812 2.394
7.298 7.747
3.296 -1.231
-1.209 3.162
6.087 9.631
9.114 -1.659
-0.544 -0.134
-0.118 8.883
0.353 0.537
2.256 -1.664
4.238 2.086
0.063 0.149
5.268 -1.132
7.79 7.372
9.602 -1.35
4.073 -1.67
-0.133 0.131
4.383 8.097
5.528 2.426
1.712 8.014
7.889 1.878
-1.358 5.895
-0.464 5.302
8.436 0.502
3.563 7.32
-1.108 -0.393
-1.957 6.722
-1.458 3.278
6.72 4.682
2.779 8.129
4.783 5.323
6.719 4.012
4.758 7.21
-1.628 4.46
3.486 7.073
4.701 -0.954
9.572 8.516
1.405 -0.292
8.971 1.254
0.897 9.962
8.703 6.965
3.354 -1.585
0.146 3.795
2.651 3.828
5.485 2.727
9.543 9.008
6.203 -1.654
6.942 8.351
8.721 2.073
8.319 8.592
7.645 8.999
3.584 5.902
6.623 -1.616
7.784 1.189
2.162 1.413
-0.893 6.329
6.547 -0.871
2.783 5.815
8.398 0.95
3.19 -0.583
8.69 7.927
0.583 0.671
0.68 4.182
2.943 8.577
2.547 5.033
5.709 2.873
3.984 1.657
0.994 6.565
8.938 2.284
9.418 1.541
1.205 -1.614
1.539 -1.402
4.867 1.325
-0.416 7.76
9.812 5.579
-0.291 9.452
2.588 9.749
6.062 -0.673
-1.679 8.129
0.124 6.043
-1.581 4.779
0.471 9.973
2.357 4.453
4.431 9.267
-0.22 1.246
-1.189 2.912
3.535 -1.34
1.607 2.701
5.159 -0.253
5.991 9.156
1.458 7.962
3.942 0.224
-0.127 0.001
-1.967 0.017
-0.192 1.009
3.225 5.965
6.364 7.266
3.787 -0.762
7.346 -0.898
0.197 3.105
6.461 7.991
9.458 7.058
6.978 -0.348
1.095 9.478
7.312 4.746
4.07 2.495
6.196 5.769
-1.113 -1.051
-0.059 6.749
2.053 1.758
9.165 0.212
3.358 8.531
8.695 -0.315
5.718 3.324
8.423 2.113
4.025 2.194
0.937 -1.105
4.001 -0.748
0.035 -1.518
1.657 8.532
7.64 1.314
6.465 1.235
2.898 2.311
2.986 0.535
0.842 1.236
6.06 -1.098
3.371 4.088
-0.877 5.697
8.62 9.974
5.418 3.413
4.013 3.443
-1.173 7.323
6.852 3.446
-1.099 0.393
-0.557 2.362
8.433 3.494
5.644 8.424
0.107 4.423
8.096 6.711
2.493 9.558
8.668 -0.133
1.963 -0.146
2.943 4.519
2.738 8.76
2.33 0.442
-0.839 5.309
2.174 7.669
4.97 1.293
6.003 -1.879
4.111 4.909
9.971 3.595
8.313 9.245
8.107 -1.222
0.859 7.083
-0.833 8.217
2.358 9.311
4.333 -0.882
2.3 3.228
4.7 2.501
1.173 2.962
7.736 0.62
3.708 -0.617
4.756 0.981
4.395 -1.167
4.448 5.029
2.882 -1.007
1.978 6.233
1.058 0.074
1.932 8.582
0.918 8.891
4.264 4.258
8.695 5.59
6.121 7.6
8.835 4.35
1.917 1.792
3.687 2.224
3.714 1.292
6.659 0.429
2.248 5.616
0.601 7.708
-1.074 1.446
2.242 6.571
8.194 0.314
6.335 3.987
5.165 2.454
-0.484 2.758
-0.676 -0.561
9.281 0.471
3.098 5.619
8.73 9.539
-1.945 4.109
1.393 7.934
6.676 3.761
9.905 8.606
6.076 8.167
0.053 2.31
6.097 4.945
9.459 -1.567
0.534 0.513
5.348 1.701
7.115 6.974
1.105 8.329
1.077 6.342
8.625 3.705
0.235 9.068
8.919 3.652
3.462 0.414
9.007 5.706
-1.791 2.587
1.344 2.3
6.909 7.838
7.568 5.914
-0.056 0.376
5.657 3.557
8.434 2.698
9.851 3.244
7.124 6.975
1.345 3.489
-0.289 8.722
3.466 7.555
0.466 8.999
6.839 7.138
5.994 3.599
4.684 -0.534
3.816 1.547
-0.188 8.612
7.156 -1.164
0.245 8.702
-1.909 -0.575
-0.516 6.151
3.65 3.56
-0.474 -1.726
9.506 2.09
9.965 2.47
1.555 5.425
0.223 6.506
6.361 3.609
-0.177 4.793
9.962 5.066
0.23 4.996
8.794 -1.053
7.813 5.877
9.509 6.271
1.24 3.917
5.969 7.645
7.934 0.056
9.296 5.489
7.348 7.346
2.281 9.235
9.636 6.563
9.951 9.191
2.91 4.025
4.931 -1.561
7.126 3.759
-0.062 1.353
5.623 3.157
-0.607 5.918
-0.403 7.308
6.483 4.082
3.788 9.782
9.558 5.879
0.235 7.419
1.834 8.666
9.277 -1.556
